,Category_ID,Title,Description,Address,Coordinates,Status_value,Status_label,Url
658,56,"Piața Mărășești 1, Târgu Mureș, judetul: Mures","Semaforul de pietoni din fata Petrom-ului are pe verde timpul foarte scurt, abia se poate ajunge dincolo daca se mege in pas alert. Un batran nu poate traversa nici pana la jumatate. Rog dublarea timpului de afisare a culorii verde.","Romania, Mures, Târgu Mureș, Piața Mărășești 1","46.551445665787035, 24.565526247024536",complete,Rezolvat,https://www.amper.org.ro/sesizari/sesizare/piata-marasesti-1-targu-mures-mures/
659,49,"Strada Livezeni 41, Târgu Mureș, judetul: Mures",Pe trotuarul de pe partea cu Kaufland in dreptul cu strada Sfantul Ioan trotuarul a fost spart pentru niste lucrari. Au astupat gaura dar asfaltul nu l-au refacut. Intrarea in curti e greoaie si si mersul pe jos este ingreunat.,"Romania, Mures, Târgu Mureș, Strada Livezeni 41","46.53517823953714, 24.594375121960183",complete,Rezolvat,https://www.amper.org.ro/sesizari/sesizare/strada-livezeni-41-targu-mures-mures/
660,56,"Bulevardul Pandurilor 114, Târgu Mureș, judetul: Mures",In intersectia Fortuna ar trebui montate camere video si sanctionat grav toate masinile ce trec pe rosu. E suficient sa stai 5 minute acolo sa vezi cata iresponsabilitate pot avea unii.,"Romania, Mures, Târgu Mureș, Bulevardul Pandurilor 114","46.5351225170971, 24.58343267440796",complete,Rezolvat,https://www.amper.org.ro/sesizari/sesizare/bulevardul-pandurilor-114-targu-mures-mures/
661,57,"Strada Păltiniș 19, Târgu Mureș, judetul: Mures","Inainte de alegerile locale s-a refacut trotuarul, dar asfaltarea nu s-a mai facut...","Romania, Mures, Târgu Mureș, Strada Păltiniș 19","46.53703402553437, 24.576244354248047",pending,In curs de rezolvare,https://www.amper.org.ro/sesizari/sesizare/strada-paltinis-19-targu-mures-mures/
662,57,"Bega 1, Târgu Mureș, judetul: Mures","La ora 6 dimineata numerosi angajati de la Friesland folosesc partea carosabila pentru a se deplasa spre strada Gh. Doja. Deoarece strada este foarte slab iluminata, pietonii respectiv risca sa fie accidentati. Ar fi necesar un trotuar pe acel segment si o mai buna iluminare stradala.","Romania, Mures, Târgu Mureș, Bega 1","46.5224969, 24.544511599999964",complete,Rezolvat,https://www.amper.org.ro/sesizari/sesizare/bega-1-targu-mures-mures/
663,50,"Strada Cutezanței 79, Târgu Mureș, judetul: Mures",Buna.Ar trebui gasita o solutie pentru tomberoanele de pe capatul strazii Cutezantei (vis a vis cu str Gloriei) sunt mereu pline.Zeci de masini opresc zilnic si arunca mai multi saci cu gunoi si majoritatea nici macar nu locuiesc in zona.,"Romania, Mures, Târgu Mureș, Strada Cutezanței 79","46.5405468926025, 24.581748247146606",pending,In curs de rezolvare,https://www.amper.org.ro/sesizari/sesizare/strada-cutezantei-79-targu-mures-mures/
664,50,"Strada Ion Buteanu 38, Târgu Mureș 547176, judetul: Mures","Sunt doua copertine de parcare inchise ca garajele, arata groaznic, sigur sunt facute abuziv. Propun desfacerea inchiderilor improvizate si sanctionarea celor care le-au inchis cu neprimirea de locuri de parcare sub copertina","Romania, Mures, Târgu Mureș 547176, Strada Ion Buteanu 38","46.52829515197001, 24.55819845199585",pending,In curs de rezolvare,https://www.amper.org.ro/sesizari/sesizare/strada-ion-buteanu-38-targu-mures-547176-mures/
665,57,"Strada Avram Iancu 3, Târgu Mureș, judetul: Mures","De ce nu este voie cu catei in cetate? Daca stapanul are la el punga pentru a curata dupa animal, nu vad care e problema. Pe langa asta nu avem voie sa calcam spatiul verde, sa stam la umbra unui copac. Peste tot in tarile vestice se poate sta in parcuri pe iarba dar la noi spatiul verde e ca si cum am merge la muzeu.","Romania, Mures, Târgu Mureș, Strada Avram Iancu 3","46.547424369151656, 24.566760063171387",pending,In curs de rezolvare,https://www.amper.org.ro/sesizari/sesizare/strada-avram-iancu-3-targu-mures-mures/
666,57,"Bulevardul 1 Decembrie 1918 253, Târgu Mureș, judetul: Mures","In zona Corina este o reala problema cu locurile de parcare. Dupa ora 19 cand toata lumea este acasa este imposibil sa gasesti un loc de parcare in zona, aici includem toate strazile mici din zona si parcarea de pe str Sarguintei care nu face fata numarului mare de masini. In fiecare seara, cei care ajung mai tarziu acasa cauta si o jumatate de ora loc de parcare, ajungand sa-si lase masinile in locuri nepermise, pe trotuare, in curbe, statie etc. Primaria cunoaste aceasta problema de ani de zile, deoarece s-au facut mai multe cereri dar, in loc sa se solutioneze au hotarat, inainte de alegeri sa paveze trotuarul si sa mai ia 3-4 locuri cu bordura.","Romania, Mures, Târgu Mureș, Bulevardul 1 Decembrie 1918 253","46.53329951007481, 24.588754177093506",complete,Rezolvat,https://www.amper.org.ro/sesizari/sesizare/bulevardul-1-decembrie-1918-253-targu-mures-mures/
667,44,"Strada 1 decembrie 1918 nr 214, Târgu Mureș 547176, judetul: Mures","In spatele Bancii OTP a ramas de cateva luni o gramada mare de pietris care incurca parcarea autovehiculelor. Daca nu mai e nevoie de ea, ar putea fi luata si dusa acolo unde este nevoie de nisip si pietris","Romania, Mures, Târgu Mureș 547176, Strada 1 decembrie 1918 nr 214","46.5326669, 24.588970000000018",pending,In curs de rezolvare,https://www.amper.org.ro/sesizari/sesizare/strada-1-decembrie-1918-nr-214-targu-mures-547176-mures/
668,57,"Strada Panseluțelor, Târgu Mureș 547176, judetul: Mures",În zona ghenei de gunoi este stalp de iluminat dar becul e ars de o buna bucata de timp fiind foarte neplacut sa mergi pe acolo cand se întunecă.,"Romania, Mures, Târgu Mureș 547176, Strada Panseluțelor","46.53743993565307, 24.5634126663208",complete,Rezolvat,https://www.amper.org.ro/sesizari/sesizare/strada-panselutelor-targu-mures-547176-mures/
669,44,"Strada Oltului 1, Târgu Mureș 547525, judetul: Mures",Pasajul de la Gara Mare care leagă străzile Oltului și Liviu Rebreanu are nevoie de intervenții de urgență. Este fără iluminat și plin de gunoi. Pasajul ține de CFR.,"Romania, Mures, Târgu Mureș 547525, Strada Oltului 1","46.534871580491334, 24.551643133163452",complete,Rezolvat,https://www.amper.org.ro/sesizari/sesizare/strada-oltului-1-targu-mures-547525-mures/
670,57,"Piata Victoriei, nr. 10, Târgu Mureș, judetul: Mures","Noi care locuim in aceasta zona platim abonament de parcare, pe langa faptul ca platim si impozitele pe zona ceea ce nu este mic. Problema pe care vreau sa o sesizez este ca in ciuda faptului mentionate mai sus nu avem asigurat un loc de parcare, daca plecam in cursul zilei, cand ne intoarcem nu mai gasim loc de parcare. Am dori solutionarea situatiei respective. Daca nu se poate altfel, cu un obstacol incuiat cu lacat pentru fiecare proprietar de masina.","Romania, Mures, Târgu Mureș, Piata Victoriei, nr. 10","46.540568, 24.556963999999994",complete,Rezolvat,https://www.amper.org.ro/sesizari/sesizare/piata-victoriei-nr-10-targu-mures-mures/
671,49,"Aleea Cornișa 18, Târgu Mureș, judetul: Mures",A fost furata teava de protectie a cablurilor electrice de la stalpul de iluminat. Cablurile de alimentare sunt libere. In zona se deplaseaza foarte multi copii. Pericol de electrocutare!,"Romania, Mures, Târgu Mureș, Aleea Cornișa 18","46.554072260155785, 24.574366807937622",complete,Rezolvat,https://www.amper.org.ro/sesizari/sesizare/aleea-cornisa-18-targu-mures-mures/
672,57,"Strada Constantin Roman Vivu, Târgu Mureș, judetul: Mures",Strada trebuie sa se numeasca (si s-a numit pana de curand) Constantin Romanu Vivu ; vezi http://enciclopediaromaniei.ro/wiki/Constantin_Romanu_Vivu. Ati preluat o eroare din google map; vai si amar de cultura celor responsabili.,"Romania, Mures, Târgu Mureș, Strada Constantin Roman Vivu","46.555348621072696, 24.575750827789307",complete,Rezolvat,https://www.amper.org.ro/sesizari/sesizare/strada-constantin-roman-vivu-targu-mures-mures/
